,country,year,life_expectancy
7115,Guyana,1809,31.12
7116,Haiti,1809,29.0
7118,Honduras,1809,33.9
7119,"Hong Kong, China",1809,34.9
7120,Hungary,1809,36.0
7121,Iceland,1809,40.42
7122,India,1809,25.44
7123,Indonesia,1809,30.0
7124,Iran,1809,25.6
7125,Iraq,1809,31.2
7126,Ireland,1809,38.3
7128,Israel,1809,32.0
7129,Italy,1809,29.69
7130,Jamaica,1809,34.2
7131,Japan,1809,36.4
7133,Jordan,1809,31.7
7134,Kazakhstan,1809,26.2
7135,Kenya,1809,25.5
7136,Kiribati,1809,24.9
7138,Kuwait,1809,26.0
7139,Kyrgyz Republic,1809,23.94
7140,Lao,1809,31.9
7141,Latvia,1809,33.0
7142,Lebanon,1809,29.7
7143,Lesotho,1809,32.8
7144,Liberia,1809,31.1
7145,Libya,1809,33.1
7147,Lithuania,1809,28.9
7148,Luxembourg,1809,36.9
7149,"Macao, China",1809,34.7
7150,"Macedonia, FYR",1809,36.1
7151,Madagascar,1809,30.5
7152,Malawi,1809,30.3
7153,Malaysia,1809,30.6
7154,Maldives,1809,32.65
7155,Mali,1809,26.41
7156,Malta,1809,28.7
7158,Martinique,1809,30.15
7159,Mauritania,1809,32.0
7160,Mauritius,1809,28.7
7161,Mayotte,1809,32.5
7162,Mexico,1809,26.9
7163,"Micronesia, Fed. Sts.",1809,26.7
7164,Moldova,1809,33.15
7166,Mongolia,1809,31.8
7167,Montenegro,1809,35.4
7169,Morocco,1809,33.1
7170,Mozambique,1809,30.28
7171,Myanmar,1809,30.8
7172,Namibia,1809,32.4
7174,Nepal,1809,32.8
7175,Netherlands,1809,39.86
7176,Netherlands Antilles,1809,34.41
7177,New Caledonia,1809,26.0
7178,New Zealand,1809,34.05
7180,Nicaragua,1809,25.4
7181,Niger,1809,30.8
7182,Nigeria,1809,30.4
7185,North Korea,1809,26.0
7189,Norway,1809,27.22
7190,Oman,1809,32.3
7191,Pakistan,1809,25.8
7193,Panama,1809,32.9
7194,Papua New Guinea,1809,31.5
7195,Paraguay,1809,35.5
7196,Peru,1809,35.7
7197,Philippines,1809,30.9
7199,Poland,1809,35.9
7200,Portugal,1809,35.6
7201,Puerto Rico,1809,30.43
7202,Qatar,1809,30.8
7203,Reunion,1809,33.0
7204,Romania,1809,35.7
7205,Russia,1809,29.57
7206,Rwanda,1809,31.8
7207,Samoa,1809,25.4
7209,Sao Tome and Principe,1809,31.0
7210,Saudi Arabia,1809,32.1
7211,Senegal,1809,25.2
7212,Serbia,1809,35.5
7215,Seychelles,1809,37.0
7216,Sierra Leone,1809,25.1
7217,Singapore,1809,29.1
7218,Slovak Republic,1809,36.4
7219,Slovenia,1809,36.6
7220,Solomon Islands,1809,25.1
7221,Somalia,1809,29.4
7223,South Africa,1809,33.5
7224,South Korea,1809,25.8
7226,South Sudan,1809,26.67
7228,Spain,1809,29.5
7229,Sri Lanka,1809,32.6
7234,St. Lucia,1809,28.01
7236,St. Vincent and the Grenadines,1809,25.99
7237,Sudan,1809,31.4
7238,Suriname,1809,32.9
7240,Swaziland,1809,32.3
7241,Sweden,1809,26.9
7242,Switzerland,1809,38.0
7243,Syria,1809,31.1
7244,Taiwan,1809,28.3
7245,Tajikistan,1809,24.24
7246,Tanzania,1809,32.2
7247,Thailand,1809,30.4
7248,Timor-Leste,1809,28.95
7249,Togo,1809,31.3
7251,Tonga,1809,28.2
7253,Trinidad and Tobago,1809,32.9
7254,Tunisia,1809,28.8
7255,Turkey,1809,35.0
7256,Turkmenistan,1809,24.0
7259,Uganda,1809,25.3
7260,Ukraine,1809,36.6
7261,United Arab Emirates,1809,30.7
7262,United Kingdom,1809,41.74
7264,United States,1809,39.41
7265,Uruguay,1809,32.9
7267,Uzbekistan,1809,26.93
7268,Vanuatu,1809,24.3
7269,Venezuela,1809,32.2
7270,Vietnam,1809,32.0
7271,Virgin Islands (U.S.),1809,33.4
7273,West Bank and Gaza,1809,32.1
7275,Western Sahara,1809,34.75
7276,Yemen,1809,23.39
7278,Zambia,1809,32.6
7279,Zimbabwe,1809,33.7
7801,Afghanistan,1810,28.11
7804,Albania,1810,35.4
7805,Algeria,1810,28.82
7808,Angola,1810,26.98
7810,Antigua and Barbuda,1810,33.54
7811,Argentina,1810,33.2
7812,Armenia,1810,34.0
7813,Aruba,1810,34.42
7814,Australia,1810,34.05
7815,Austria,1810,34.4
7816,Azerbaijan,1810,29.17
7817,Bahamas,1810,35.18
7818,Bahrain,1810,30.3
7819,Bangladesh,1810,25.5
7820,Barbados,1810,32.12
7821,Belarus,1810,36.2
7822,Belgium,1810,40.08
7823,Belize,1810,26.5
7824,Benin,1810,31.0
7826,Bhutan,1810,28.8
7827,Bolivia,1810,33.0
7828,Bosnia and Herzegovina,1810,35.1
7829,Botswana,1810,33.6
7830,Brazil,1810,32.0
7832,Brunei,1810,29.2
7833,Bulgaria,1810,36.24
7834,Burkina Faso,1810,29.2
7835,Burundi,1810,31.5
7836,Cambodia,1810,35.0
7837,Cameroon,1810,28.75
7838,Canada,1810,39.01
7839,Cape Verde,1810,33.8
7841,Central African Republic,1810,30.0
7842,Chad,1810,30.9
7844,Chile,1810,32.0
7845,China,1810,32.0
7848,Colombia,1810,32.0
7849,Comoros,1810,32.1
7850,"Congo, Dem. Rep.",1810,31.6
7851,"Congo, Rep.",1810,32.7
7853,Costa Rica,1810,30.21
7854,Cote d'Ivoire,1810,31.16
7855,Croatia,1810,36.1
7856,Cuba,1810,33.64
7857,Cyprus,1810,38.5
7858,Czech Republic,1810,34.95
7860,Denmark,1810,41.71
7861,Djibouti,1810,29.9
7863,Dominican Republic,1810,29.9
7865,Ecuador,1810,32.9
7866,Egypt,1810,33.0
7867,El Salvador,1810,28.7
7868,Equatorial Guinea,1810,29.8
7869,Eritrea,1810,30.2
7871,Estonia,1810,34.86
7872,Ethiopia,1810,29.7
7875,Fiji,1810,26.1
7876,Finland,1810,36.95
7877,France,1810,37.4
7878,French Guiana,1810,30.5
7879,French Polynesia,1810,25.6
7880,Gabon,1810,30.6
7881,Gambia,1810,28.8
7882,Georgia,1810,31.87
7883,Germany,1810,38.37
7884,Ghana,1810,28.0
7886,Greece,1810,36.6
7887,Greenland,1810,33.87
7888,Grenada,1810,31.4
7889,Guadeloupe,1810,27.66
7890,Guam,1810,27.5
7891,Guatemala,1810,25.8
7893,Guinea,1810,29.6
7894,Guinea-Bissau,1810,32.0
7895,Guyana,1810,31.12
7896,Haiti,1810,29.0
7898,Honduras,1810,33.9
7899,"Hong Kong, China",1810,34.9
7900,Hungary,1810,36.0
7901,Iceland,1810,43.14
7902,India,1810,25.44
7903,Indonesia,1810,30.0
7904,Iran,1810,25.6
7905,Iraq,1810,31.2
7906,Ireland,1810,38.3
7908,Israel,1810,32.0
7909,Italy,1810,29.69
7910,Jamaica,1810,34.2
7911,Japan,1810,36.4
7913,Jordan,1810,31.7
7914,Kazakhstan,1810,26.2
7915,Kenya,1810,25.5
7916,Kiribati,1810,24.9
7918,Kuwait,1810,26.0
7919,Kyrgyz Republic,1810,23.94
7920,Lao,1810,31.9
7921,Latvia,1810,33.0
7922,Lebanon,1810,29.7
7923,Lesotho,1810,32.8
7924,Liberia,1810,31.1
7925,Libya,1810,33.1
7927,Lithuania,1810,28.9
7928,Luxembourg,1810,36.9
7929,"Macao, China",1810,34.7
7930,"Macedonia, FYR",1810,36.1
7931,Madagascar,1810,30.5
7932,Malawi,1810,30.3
7933,Malaysia,1810,30.6
7934,Maldives,1810,32.65
7935,Mali,1810,26.41
7936,Malta,1810,28.7
7938,Martinique,1810,30.15
7939,Mauritania,1810,32.0
7940,Mauritius,1810,28.7
7941,Mayotte,1810,32.5
7942,Mexico,1810,26.9
7943,"Micronesia, Fed. Sts.",1810,26.7
7944,Moldova,1810,33.15
7946,Mongolia,1810,31.8
7947,Montenegro,1810,35.4
7949,Morocco,1810,33.1
7950,Mozambique,1810,30.28
7951,Myanmar,1810,30.8
7952,Namibia,1810,32.4
7954,Nepal,1810,32.8
7955,Netherlands,1810,39.86
7956,Netherlands Antilles,1810,34.41
7957,New Caledonia,1810,26.0
7958,New Zealand,1810,34.05
7960,Nicaragua,1810,25.4
7961,Niger,1810,30.8
7962,Nigeria,1810,30.4
7965,North Korea,1810,26.0
7969,Norway,1810,36.48
7970,Oman,1810,32.3
7971,Pakistan,1810,25.8
7973,Panama,1810,32.9
7974,Papua New Guinea,1810,31.5
7975,Paraguay,1810,35.5
7976,Peru,1810,35.7
7977,Philippines,1810,30.9
7979,Poland,1810,35.9
7980,Portugal,1810,35.6
7981,Puerto Rico,1810,30.43
7982,Qatar,1810,30.8
7983,Reunion,1810,33.0
7984,Romania,1810,35.7
7985,Russia,1810,29.57
7986,Rwanda,1810,31.8
7987,Samoa,1810,25.4
7989,Sao Tome and Principe,1810,31.0
7990,Saudi Arabia,1810,32.1
7991,Senegal,1810,25.2
7992,Serbia,1810,35.5
7995,Seychelles,1810,37.0
7996,Sierra Leone,1810,25.1
7997,Singapore,1810,29.1
7998,Slovak Republic,1810,36.4
7999,Slovenia,1810,36.6
8000,Solomon Islands,1810,25.1
8001,Somalia,1810,29.4
8003,South Africa,1810,33.5
8004,South Korea,1810,25.8
8006,South Sudan,1810,26.67
8008,Spain,1810,29.5
8009,Sri Lanka,1810,32.6
8014,St. Lucia,1810,28.01
8016,St. Vincent and the Grenadines,1810,25.99
8017,Sudan,1810,31.4
8018,Suriname,1810,32.9
8020,Swaziland,1810,32.3
8021,Sweden,1810,31.99
8022,Switzerland,1810,38.0
8023,Syria,1810,31.1
8024,Taiwan,1810,28.3
8025,Tajikistan,1810,24.24
8026,Tanzania,1810,32.2
8027,Thailand,1810,30.4
8028,Timor-Leste,1810,28.95
8029,Togo,1810,31.3
8031,Tonga,1810,28.2
8033,Trinidad and Tobago,1810,32.9
8034,Tunisia,1810,28.8
8035,Turkey,1810,35.0
8036,Turkmenistan,1810,24.0
8039,Uganda,1810,25.3
8040,Ukraine,1810,36.6
8041,United Arab Emirates,1810,30.7
8042,United Kingdom,1810,38.35
8044,United States,1810,39.41
8045,Uruguay,1810,32.9
8047,Uzbekistan,1810,26.93
8048,Vanuatu,1810,24.3
8049,Venezuela,1810,32.2
8050,Vietnam,1810,32.0
8051,Virgin Islands (U.S.),1810,33.4
8053,West Bank and Gaza,1810,32.1
8055,Western Sahara,1810,34.75
8056,Yemen,1810,23.39
8058,Zambia,1810,32.6
8059,Zimbabwe,1810,33.7
8581,Afghanistan,1811,28.1
8584,Albania,1811,35.4
8585,Algeria,1811,28.82
8588,Angola,1811,26.98
8590,Antigua and Barbuda,1811,33.54
8591,Argentina,1811,33.2
8592,Armenia,1811,34.0
8593,Aruba,1811,34.42
8594,Australia,1811,34.05
8595,Austria,1811,34.4
8596,Azerbaijan,1811,29.17
8597,Bahamas,1811,35.18
8598,Bahrain,1811,30.3
8599,Bangladesh,1811,25.5
8600,Barbados,1811,32.12
8601,Belarus,1811,36.2
8602,Belgium,1811,40.09
8603,Belize,1811,26.5
8604,Benin,1811,31.0
8606,Bhutan,1811,28.8
8607,Bolivia,1811,33.0
8608,Bosnia and Herzegovina,1811,35.1
8609,Botswana,1811,33.6
8610,Brazil,1811,32.0
8612,Brunei,1811,29.2
8613,Bulgaria,1811,36.28
8614,Burkina Faso,1811,29.2
8615,Burundi,1811,31.5
8616,Cambodia,1811,35.0
8617,Cameroon,1811,28.75
8618,Canada,1811,39.02
8619,Cape Verde,1811,33.8
8621,Central African Republic,1811,30.0
8622,Chad,1811,30.9
8624,Chile,1811,32.0
8625,China,1811,32.0
8628,Colombia,1811,32.0
8629,Comoros,1811,32.1
8630,"Congo, Dem. Rep.",1811,31.6
8631,"Congo, Rep.",1811,32.7
8633,Costa Rica,1811,30.21
8634,Cote d'Ivoire,1811,31.16
8635,Croatia,1811,36.1
8636,Cuba,1811,33.78
8637,Cyprus,1811,38.5
8638,Czech Republic,1811,34.95
8640,Denmark,1811,39.31
8641,Djibouti,1811,29.9
8643,Dominican Republic,1811,29.9
8645,Ecuador,1811,32.9
8646,Egypt,1811,33.0
8647,El Salvador,1811,28.7
8648,Equatorial Guinea,1811,29.8
8649,Eritrea,1811,30.2
8651,Estonia,1811,35.49
8652,Ethiopia,1811,29.7
8655,Fiji,1811,26.1
8656,Finland,1811,30.69
8657,France,1811,36.1
8658,French Guiana,1811,30.5
8659,French Polynesia,1811,25.6
8660,Gabon,1811,30.6
8661,Gambia,1811,28.8
8662,Georgia,1811,31.87
8663,Germany,1811,38.37
8664,Ghana,1811,28.0
8666,Greece,1811,36.6
8667,Greenland,1811,33.87
8668,Grenada,1811,31.4
8669,Guadeloupe,1811,27.66
8670,Guam,1811,27.5
8671,Guatemala,1811,25.8
8673,Guinea,1811,29.61
8674,Guinea-Bissau,1811,32.0
8675,Guyana,1811,31.12
8676,Haiti,1811,29.0
8678,Honduras,1811,33.9
8679,"Hong Kong, China",1811,34.9
8680,Hungary,1811,36.0
8681,Iceland,1811,38.56
8682,India,1811,25.44
8683,Indonesia,1811,30.0
8684,Iran,1811,25.6
8685,Iraq,1811,31.2
8686,Ireland,1811,38.3
8688,Israel,1811,32.0
8689,Italy,1811,29.69
8690,Jamaica,1811,34.2
8691,Japan,1811,36.4
8693,Jordan,1811,31.7
8694,Kazakhstan,1811,26.2
8695,Kenya,1811,25.5
8696,Kiribati,1811,24.9
8698,Kuwait,1811,26.0
8699,Kyrgyz Republic,1811,23.94
8700,Lao,1811,31.9
8701,Latvia,1811,33.0
8702,Lebanon,1811,29.7
8703,Lesotho,1811,32.8
8704,Liberia,1811,31.1
8705,Libya,1811,33.1
8707,Lithuania,1811,28.9
8708,Luxembourg,1811,36.9
8709,"Macao, China",1811,34.7
8710,"Macedonia, FYR",1811,36.1
8711,Madagascar,1811,30.5
8712,Malawi,1811,30.3
8713,Malaysia,1811,30.6
8714,Maldives,1811,32.65
8715,Mali,1811,26.41
8716,Malta,1811,28.7
8718,Martinique,1811,30.15
8719,Mauritania,1811,32.0
8720,Mauritius,1811,28.7
8721,Mayotte,1811,32.5
8722,Mexico,1811,26.9
8723,"Micronesia, Fed. Sts.",1811,26.7
8724,Moldova,1811,33.15
8726,Mongolia,1811,31.8
8727,Montenegro,1811,35.4
8729,Morocco,1811,33.1
8730,Mozambique,1811,30.28
8731,Myanmar,1811,30.8
8732,Namibia,1811,32.4
8734,Nepal,1811,32.8
8735,Netherlands,1811,39.86
8736,Netherlands Antilles,1811,34.41
8737,New Caledonia,1811,26.0
8738,New Zealand,1811,34.05
8740,Nicaragua,1811,25.4
8741,Niger,1811,30.8
8742,Nigeria,1811,30.4
8745,North Korea,1811,26.0
8749,Norway,1811,38.05
8750,Oman,1811,32.3
8751,Pakistan,1811,25.8
8753,Panama,1811,32.9
8754,Papua New Guinea,1811,31.5
8755,Paraguay,1811,35.5
8756,Peru,1811,35.7
8757,Philippines,1811,30.9
8759,Poland,1811,35.9
8760,Portugal,1811,35.6
8761,Puerto Rico,1811,30.43
8762,Qatar,1811,30.8
8763,Reunion,1811,33.0
8764,Romania,1811,35.7
8765,Russia,1811,29.57
8766,Rwanda,1811,31.8
8767,Samoa,1811,25.4
8769,Sao Tome and Principe,1811,31.0
8770,Saudi Arabia,1811,32.1
8771,Senegal,1811,25.2
8772,Serbia,1811,35.5
8775,Seychelles,1811,37.0
8776,Sierra Leone,1811,25.1
8777,Singapore,1811,29.1
8778,Slovak Republic,1811,36.4
8779,Slovenia,1811,36.6
8780,Solomon Islands,1811,25.1
8781,Somalia,1811,29.4
8783,South Africa,1811,33.5
8784,South Korea,1811,25.8
8786,South Sudan,1811,26.67
8788,Spain,1811,29.5
8789,Sri Lanka,1811,32.6
8794,St. Lucia,1811,28.01
8796,St. Vincent and the Grenadines,1811,25.99
8797,Sudan,1811,31.4
8798,Suriname,1811,32.9
8800,Swaziland,1811,32.3
8801,Sweden,1811,34.58
8802,Switzerland,1811,38.0
8803,Syria,1811,31.1
8804,Taiwan,1811,28.3
8805,Tajikistan,1811,24.24
8806,Tanzania,1811,32.2
8807,Thailand,1811,30.4
8808,Timor-Leste,1811,28.95
8809,Togo,1811,31.3
8811,Tonga,1811,28.2
8813,Trinidad and Tobago,1811,32.9
8814,Tunisia,1811,28.8
8815,Turkey,1811,35.0
8816,Turkmenistan,1811,24.0
8819,Uganda,1811,25.3
8820,Ukraine,1811,36.6
8821,United Arab Emirates,1811,30.7
8822,United Kingdom,1811,39.89
8824,United States,1811,39.41
8825,Uruguay,1811,32.9
8827,Uzbekistan,1811,26.93
8828,Vanuatu,1811,24.3
8829,Venezuela,1811,32.2
8830,Vietnam,1811,32.0
8831,Virgin Islands (U.S.),1811,33.4
8833,West Bank and Gaza,1811,32.1
8835,Western Sahara,1811,34.75
8836,Yemen,1811,23.39
8838,Zambia,1811,32.6
8839,Zimbabwe,1811,33.7
9361,Afghanistan,1812,28.09
9364,Albania,1812,35.4
9365,Algeria,1812,28.82
9368,Angola,1812,26.98
9370,Antigua and Barbuda,1812,33.54
9371,Argentina,1812,33.2
9372,Armenia,1812,34.0
9373,Aruba,1812,34.42
9374,Australia,1812,34.05
9375,Austria,1812,34.4
9376,Azerbaijan,1812,29.17
9377,Bahamas,1812,35.18
9378,Bahrain,1812,30.3
9379,Bangladesh,1812,25.5
9380,Barbados,1812,32.12
9381,Belarus,1812,36.2
9382,Belgium,1812,40.1
9383,Belize,1812,26.5
9384,Benin,1812,31.0
9386,Bhutan,1812,28.8
9387,Bolivia,1812,33.0
9388,Bosnia and Herzegovina,1812,35.1
9389,Botswana,1812,33.6
9390,Brazil,1812,32.0
9392,Brunei,1812,29.2
9393,Bulgaria,1812,36.33
9394,Burkina Faso,1812,29.2
9395,Burundi,1812,31.5
9396,Cambodia,1812,35.0
9397,Cameroon,1812,28.75
9398,Canada,1812,39.02
9399,Cape Verde,1812,33.8
9401,Central African Republic,1812,30.0
9402,Chad,1812,30.9
9404,Chile,1812,32.0
9405,China,1812,32.0
9408,Colombia,1812,32.0
9409,Comoros,1812,32.1
9410,"Congo, Dem. Rep.",1812,31.6
9411,"Congo, Rep.",1812,32.7
9413,Costa Rica,1812,30.21
9414,Cote d'Ivoire,1812,31.16
9415,Croatia,1812,36.1
9416,Cuba,1812,33.92
9417,Cyprus,1812,38.5
9418,Czech Republic,1812,34.95
9420,Denmark,1812,36.04
9421,Djibouti,1812,29.9
9423,Dominican Republic,1812,29.9
9425,Ecuador,1812,32.9
9426,Egypt,1812,33.0
9427,El Salvador,1812,28.7
9428,Equatorial Guinea,1812,29.8
9429,Eritrea,1812,30.2
9431,Estonia,1812,36.13
9432,Ethiopia,1812,29.7
9435,Fiji,1812,26.1
9436,Finland,1812,37.61
9437,France,1812,31.7
9438,French Guiana,1812,30.5
9439,French Polynesia,1812,25.6
9440,Gabon,1812,30.6
9441,Gambia,1812,28.8
9442,Georgia,1812,31.87
9443,Germany,1812,38.37
9444,Ghana,1812,28.0
9446,Greece,1812,36.6
9447,Greenland,1812,33.87
9448,Grenada,1812,31.4
9449,Guadeloupe,1812,27.66
9450,Guam,1812,27.5
9451,Guatemala,1812,25.8
9453,Guinea,1812,29.62
9454,Guinea-Bissau,1812,32.0
9455,Guyana,1812,31.12
9456,Haiti,1812,29.0
9458,Honduras,1812,33.9
9459,"Hong Kong, China",1812,34.9
9460,Hungary,1812,36.0
9461,Iceland,1812,33.73
9462,India,1812,23.0
9463,Indonesia,1812,30.0
9464,Iran,1812,25.6
9465,Iraq,1812,31.2
9466,Ireland,1812,38.3
9468,Israel,1812,32.0
9469,Italy,1812,29.69
9470,Jamaica,1812,34.2
9471,Japan,1812,36.4
9473,Jordan,1812,31.7
9474,Kazakhstan,1812,26.2
9475,Kenya,1812,25.5
9476,Kiribati,1812,24.9
9478,Kuwait,1812,26.0
9479,Kyrgyz Republic,1812,23.94
9480,Lao,1812,31.9
9481,Latvia,1812,33.0
9482,Lebanon,1812,29.7
9483,Lesotho,1812,32.8
9484,Liberia,1812,31.1
9485,Libya,1812,33.1
9487,Lithuania,1812,28.9
9488,Luxembourg,1812,36.9
9489,"Macao, China",1812,34.7
9490,"Macedonia, FYR",1812,36.1
9491,Madagascar,1812,30.5
9492,Malawi,1812,30.3
9493,Malaysia,1812,30.6
9494,Maldives,1812,32.65
9495,Mali,1812,26.41
9496,Malta,1812,28.7
9498,Martinique,1812,30.15
9499,Mauritania,1812,32.0
9500,Mauritius,1812,28.7
9501,Mayotte,1812,32.5
9502,Mexico,1812,26.9
9503,"Micronesia, Fed. Sts.",1812,26.7
9504,Moldova,1812,33.15
9506,Mongolia,1812,31.8
9507,Montenegro,1812,35.4
9509,Morocco,1812,33.1
9510,Mozambique,1812,30.28
9511,Myanmar,1812,30.8
9512,Namibia,1812,32.4
9514,Nepal,1812,32.8
9515,Netherlands,1812,39.86
9516,Netherlands Antilles,1812,34.41
9517,New Caledonia,1812,26.0
9518,New Zealand,1812,34.05
9520,Nicaragua,1812,25.4
9521,Niger,1812,30.8
9522,Nigeria,1812,30.4
9525,North Korea,1812,26.0
9529,Norway,1812,43.46
9530,Oman,1812,32.3
9531,Pakistan,1812,23.3
9533,Panama,1812,32.9
9534,Papua New Guinea,1812,31.5
9535,Paraguay,1812,35.5
9536,Peru,1812,35.7
9537,Philippines,1812,30.9
9539,Poland,1812,35.9
9540,Portugal,1812,35.6
9541,Puerto Rico,1812,30.43
9542,Qatar,1812,30.8
9543,Reunion,1812,33.0
9544,Romania,1812,35.7
9545,Russia,1812,29.57
9546,Rwanda,1812,31.8
9547,Samoa,1812,25.4
9549,Sao Tome and Principe,1812,31.0
9550,Saudi Arabia,1812,32.1
9551,Senegal,1812,25.2
9552,Serbia,1812,35.5
9555,Seychelles,1812,37.0
9556,Sierra Leone,1812,25.1
9557,Singapore,1812,29.1
9558,Slovak Republic,1812,36.4
9559,Slovenia,1812,36.6
9560,Solomon Islands,1812,25.1
9561,Somalia,1812,29.4
9563,South Africa,1812,33.5
9564,South Korea,1812,25.8
9566,South Sudan,1812,26.67
9568,Spain,1812,29.5
9569,Sri Lanka,1812,32.6
9574,St. Lucia,1812,28.01
9576,St. Vincent and the Grenadines,1812,25.99
9577,Sudan,1812,31.4
9578,Suriname,1812,32.9
9580,Swaziland,1812,32.3
9581,Sweden,1812,35.07
9582,Switzerland,1812,38.0
9583,Syria,1812,31.1
9584,Taiwan,1812,28.3
9585,Tajikistan,1812,24.24
9586,Tanzania,1812,32.2
9587,Thailand,1812,30.4
9588,Timor-Leste,1812,28.95
9589,Togo,1812,31.3
9591,Tonga,1812,28.2
9593,Trinidad and Tobago,1812,32.9
9594,Tunisia,1812,28.8
9595,Turkey,1812,35.0
9596,Turkmenistan,1812,24.0
9599,Uganda,1812,25.3
9600,Ukraine,1812,36.6
9601,United Arab Emirates,1812,30.7
9602,United Kingdom,1812,41.83
9604,United States,1812,39.41
9605,Uruguay,1812,32.9
9607,Uzbekistan,1812,26.93
9608,Vanuatu,1812,24.3
9609,Venezuela,1812,32.2
9610,Vietnam,1812,32.0
9611,Virgin Islands (U.S.),1812,33.4
9613,West Bank and Gaza,1812,32.1
9615,Western Sahara,1812,34.75
9616,Yemen,1812,23.39
9618,Zambia,1812,32.6
9619,Zimbabwe,1812,33.7
10141,Afghanistan,1813,28.08
10144,Albania,1813,35.4
10145,Algeria,1813,28.82
10148,Angola,1813,26.98
10150,Antigua and Barbuda,1813,33.54
10151,Argentina,1813,33.2
10152,Armenia,1813,34.0
10153,Aruba,1813,34.42
10154,Australia,1813,34.05
10155,Austria,1813,34.4
10156,Azerbaijan,1813,29.17
10157,Bahamas,1813,35.18
10158,Bahrain,1813,30.3
10159,Bangladesh,1813,25.5
10160,Barbados,1813,32.12
10161,Belarus,1813,36.2
10162,Belgium,1813,40.1
10163,Belize,1813,26.5
10164,Benin,1813,31.0
10166,Bhutan,1813,28.8
10167,Bolivia,1813,33.0
10168,Bosnia and Herzegovina,1813,35.1
10169,Botswana,1813,33.6
10170,Brazil,1813,32.0
10172,Brunei,1813,29.2
10173,Bulgaria,1813,36.37
10174,Burkina Faso,1813,29.2
10175,Burundi,1813,31.5
10176,Cambodia,1813,35.0
10177,Cameroon,1813,28.75
10178,Canada,1813,39.02
10179,Cape Verde,1813,33.8
10181,Central African Republic,1813,30.0
10182,Chad,1813,30.9
10184,Chile,1813,32.0
10185,China,1813,32.0
10188,Colombia,1813,32.0
10189,Comoros,1813,32.1
10190,"Congo, Dem. Rep.",1813,31.6
10191,"Congo, Rep.",1813,32.7
10193,Costa Rica,1813,30.21
10194,Cote d'Ivoire,1813,31.16
10195,Croatia,1813,36.1
10196,Cuba,1813,34.06
10197,Cyprus,1813,38.5
10198,Czech Republic,1813,34.95
10200,Denmark,1813,40.9
10201,Djibouti,1813,29.9
10203,Dominican Republic,1813,29.9
10205,Ecuador,1813,32.9
10206,Egypt,1813,33.0
10207,El Salvador,1813,28.7
10208,Equatorial Guinea,1813,29.8
10209,Eritrea,1813,30.2
10211,Estonia,1813,36.76
10212,Ethiopia,1813,29.7
10215,Fiji,1813,26.1
10216,Finland,1813,34.18
10217,France,1813,31.2
10218,French Guiana,1813,30.5
10219,French Polynesia,1813,25.6
10220,Gabon,1813,30.6
10221,Gambia,1813,28.8
10222,Georgia,1813,31.87
10223,Germany,1813,38.37
10224,Ghana,1813,28.0
10226,Greece,1813,36.6
10227,Greenland,1813,33.87
10228,Grenada,1813,31.4
10229,Guadeloupe,1813,27.66
10230,Guam,1813,27.5
10231,Guatemala,1813,25.8
10233,Guinea,1813,29.63
10234,Guinea-Bissau,1813,32.0
10235,Guyana,1813,31.12
10236,Haiti,1813,29.0
10238,Honduras,1813,33.9
10239,"Hong Kong, China",1813,34.9
10240,Hungary,1813,36.0
10241,Iceland,1813,33.3
10242,India,1813,25.44
10243,Indonesia,1813,30.0
10244,Iran,1813,25.6
10245,Iraq,1813,31.2
10246,Ireland,1813,38.3
10248,Israel,1813,32.0
10249,Italy,1813,29.69
10250,Jamaica,1813,34.2
10251,Japan,1813,36.41
10253,Jordan,1813,31.7
10254,Kazakhstan,1813,26.2
10255,Kenya,1813,25.5
10256,Kiribati,1813,24.9
10258,Kuwait,1813,26.0
10259,Kyrgyz Republic,1813,23.94
10260,Lao,1813,31.9
10261,Latvia,1813,33.0
10262,Lebanon,1813,29.7
10263,Lesotho,1813,32.8
10264,Liberia,1813,31.1
10265,Libya,1813,33.1
10267,Lithuania,1813,28.9
10268,Luxembourg,1813,36.9
10269,"Macao, China",1813,34.7
10270,"Macedonia, FYR",1813,36.1
10271,Madagascar,1813,30.5
10272,Malawi,1813,30.3
10273,Malaysia,1813,30.6
10274,Maldives,1813,32.65
10275,Mali,1813,26.41
10276,Malta,1813,28.7
10278,Martinique,1813,30.15
10279,Mauritania,1813,32.0
10280,Mauritius,1813,28.7
10281,Mayotte,1813,32.5
10282,Mexico,1813,26.9
10283,"Micronesia, Fed. Sts.",1813,26.7
10284,Moldova,1813,33.15
10286,Mongolia,1813,31.8
10287,Montenegro,1813,35.4
10289,Morocco,1813,33.1
10290,Mozambique,1813,30.28
10291,Myanmar,1813,30.8
10292,Namibia,1813,32.4
10294,Nepal,1813,32.8
10295,Netherlands,1813,39.86
10296,Netherlands Antilles,1813,34.41
10297,New Caledonia,1813,26.0
10298,New Zealand,1813,34.05
10300,Nicaragua,1813,25.4
10301,Niger,1813,30.8
10302,Nigeria,1813,30.4
10305,North Korea,1813,26.0
10309,Norway,1813,33.46
10310,Oman,1813,32.3
10311,Pakistan,1813,25.8
10313,Panama,1813,32.9
10314,Papua New Guinea,1813,31.5
10315,Paraguay,1813,35.5
10316,Peru,1813,35.7
10317,Philippines,1813,30.9
10319,Poland,1813,35.9
10320,Portugal,1813,35.6
10321,Puerto Rico,1813,30.43
